"uid","username","home_school","away_school","actual_home_score","actual_away_score","home_score","home_nickname","away_score","away_nickname","points","timestamp"
"10","82lsju","Stanford","Colgate","41","10","31",NULL,"14",NULL,"16","2022-08-24 09:01:14"
"12","81alum","Stanford","Colgate","41","10","21",NULL,"17",NULL,"2","2022-08-23 07:10:41"
"28","GoodGrief","Stanford","Colgate","41","10","45","Frosty Divine Saturn","6","Taco Gel","37","2022-09-02 12:49:55"
"29","JeffInCorvallis","Stanford","Colgate","41","10","31","Trough","19","Crest","9","2022-08-22 12:29:22"
"31","Leftcoast","Stanford","Colgate","41","10","41","Alma Mater of the 5th","6","4 out of 5 Dentist's choice","52","2022-09-02 14:44:01"
"33","Mick","Stanford","Colgate","41","10","41","Andy Kerr, 1922-23","17","Andy Kerr, 1929-46","45","2022-08-20 12:19:00"
"46","akiddoc","Stanford","Colgate","41","10","38",NULL,"9",NULL,"48","2022-08-23 06:31:05"
"56","fullmetal","Stanford","Colgate","41","10","40","Evergreen hope","13","Toothpaste","48","2022-08-29 13:44:54"
"58","george","Stanford","Colgate","41","10","27",NULL,"14",NULL,"10","2022-08-20 14:49:15"
"61","Renaissance Man","Stanford","Colgate","41","10","35",NULL,"0",NULL,"13","2022-08-22 17:59:17"
"66","pefloresjr","Stanford","Colgate","41","10","37",NULL,"13",NULL,"40","2022-09-02 17:07:28"
"78","Extra Point","Stanford","Colgate","41","10","38",NULL,"10",NULL,"54","2022-08-27 09:20:35"
"85","JohnR34231","Stanford","Colgate","41","10","48",NULL,"13",NULL,"32","2022-08-22 06:16:48"
"90","CompSci87","Stanford","Colgate","41","10","41",NULL,"10",NULL,"65","2022-08-20 13:00:00"
"101","Hurlburt88","Stanford","Colgate","41","10","45",NULL,"3",NULL,"25","2022-08-21 13:52:17"
"118","pcgoode","Stanford","Colgate","41","10","48",NULL,"3",NULL,"16","2022-08-20 21:03:26"
"125","vataha","Stanford","Colgate","41","10","38",NULL,"13",NULL,"45","2022-08-30 17:51:51"
"133","pokey","Stanford","Colgate","41","10","56",NULL,"6",NULL,"9","2022-08-30 21:26:13"
"150","Publius","Stanford","Colgate","41","10","44","University","3","Palmolive","32","2022-08-30 21:26:23"
"196","Langdude","Stanford","Colgate","41","10","41","Alma mater of John Ehrlichman","13","Alma mater of John Dean","54","2022-09-02 00:00:00"
"208","indiancardinal","Stanford","Colgate","41","10","49",NULL,"9",NULL,"34","2022-08-21 03:49:27"
"211","martyup","Stanford","Colgate","41","10","50","Cardivors","0","SoFreshAndSoClean","9","2022-08-22 10:23:05"
"235","Cowboy1","Stanford","Colgate","41","10","32",NULL,"17",NULL,"13","2022-08-29 06:39:19"
"243","Papa John","Stanford","Colgate","41","10","31","Ford of Stan","10","Gate of Col","36","2022-08-22 19:41:43"
"244","rastaman85","Stanford","Colgate","41","10","45",NULL,"9",NULL,"46","2022-08-20 17:46:17"
"261","CTcard","Stanford","Colgate","41","10","48","toothpicks","6","Toothpaste","25","2022-08-22 10:22:00"
"265","bl82","Stanford","Colgate","41","10","49",NULL,"7",NULL,"25","2022-08-20 17:58:08"
"267","cardcrimson","Stanford","Colgate","41","10","38","Jim Plunkett","13","Mark van Eeghen","45","2022-08-20 21:14:16"
"277","thunder_chik","Stanford","Colgate","41","10","31",NULL,"13",NULL,"19","2022-08-23 22:21:21"
"284","Durty Nelly","Stanford","Colgate","41","10","37",NULL,"13",NULL,"40","2022-08-30 16:57:36"
"288","murky","Stanford","Colgate","41","10","63",NULL,"10",NULL,"8","2022-08-29 17:19:05"
"302","JJJ","Stanford","Colgate","41","10","45",NULL,"14",NULL,"37","2022-08-21 18:01:19"
"328","CPSteeple","Stanford","Colgate","41","10","38","Trees","7","Teeth","45","2022-09-01 04:01:06"
"382","Phogge","Stanford","Colgate","41","10","31","Arthur Mejia","17","James D Hornsfischer","11","2022-08-21 02:09:48"
"453","Snorlax94","Stanford","Colgate","41","10","49","Teeth","6","Toothpaste","21","2022-08-20 20:55:13"
"473","CardinalSagehen","Stanford","Colgate","41","10","48",NULL,"10",NULL,"45","2022-08-20 15:12:23"
"480","lex24","Stanford","Colgate","41","10","42",NULL,"10",NULL,"57","2022-08-21 00:00:00"
"515","qwerty49","Stanford","Colgate","41","10","38",NULL,"3",NULL,"32","2022-08-21 14:06:57"
"526","newguy","Stanford","Colgate","41","10","35",NULL,"14",NULL,"32","2022-08-20 18:03:51"
"558","PAsportsfan","Stanford","Colgate","41","10","40",NULL,"10",NULL,"57","2022-09-02 22:51:29"
"598","msqueri","Stanford","Colgate","41","10","62",NULL,"7",NULL,"3","2022-08-20 18:36:24"
"705","JustAnotherFan","Stanford","Colgate","41","10","24",NULL,"6",NULL,"6","2022-08-21 18:29:51"
"706","PVTree","Stanford","Colgate","41","10","40","Los Arboles","10","Toothpaste","57","2022-09-03 01:46:56"
"725","chrisk","Stanford","Colgate","41","10","38","Paste","14","Gel","40","2022-08-24 22:44:13"
"804","AcesUp","Stanford","Colgate","41","10","17",NULL,"7",NULL,"2","2022-08-20 23:44:28"
"819","ADPinWDC","Stanford","Colgate","41","10","48","Arboretum","6","Raiders","25","2022-08-28 00:57:52"
"842","Austroturf","Stanford","Colgate","41","10","35",NULL,"17",NULL,"19","2022-09-02 16:28:17"
"1002","MVDan","Stanford","Colgate","41","10","52","Gene Washington","14","Marv Hubbard","14","2022-08-21 13:51:31"
"1067","LDN/SG Card","Stanford","Colgate","41","10","56",NULL,"3",NULL,"4","2022-08-23 02:34:42"
"1101","thatboy","Stanford","Colgate","41","10","38","Scout","17","Cardboard","32","2022-08-21 00:30:44"
"1155","paloalto","Stanford","Colgate","41","10","35",NULL,"14",NULL,"32","2022-08-20 19:49:00"
"1197","old spanish trail","Stanford","Colgate","41","10","35",NULL,"6",NULL,"32","2022-08-23 00:32:09"
"1351","TonyLima","Stanford","Colgate","41","10","52",NULL,"9",NULL,"21","2022-08-21 20:24:01"
"1379","skip75","Stanford","Colgate","41","10","55","Alma Mater of Casey Jacobsen","10","Alma Mater of Rob Stone","20","2022-09-03 13:25:03"
"1413","relsef","Stanford","Colgate","41","10","45","the squeeze","6","the tube","37","2022-08-22 10:53:14"
"10","82lsju","Stanford","USC","28","41","31",NULL,"27",NULL,"17","2022-09-05 17:35:13"
"29","JeffInCorvallis","Stanford","USC","28","41","13",NULL,"28",NULL,"61","2022-09-09 00:57:38"
"31","Leftcoast","Stanford","USC","28","41","24","Pac 12 Protectors","34","Pac 12 Wreckers","71","2022-09-09 23:23:10"
"33","Mick","Stanford","USC","28","41","21","84 Nobel Laureates","42","10 Nobel Laureates","77","2022-09-06 10:33:35"
"56","fullmetal","Stanford","USC","28","41","42","Upsetter","38","Upsettee","17","2022-09-07 19:11:17"
"58","george","Stanford","USC","28","41","27",NULL,"49",NULL,"76","2022-09-06 12:22:44"
"61","Renaissance Man","Stanford","USC","28","41","31",NULL,"27",NULL,"17","2022-09-06 13:34:27"
"66","pefloresjr","Stanford","USC","28","41","37","The Shire","31","Mordor","9","2022-09-10 01:06:13"
"90","CompSci87","Stanford","USC","28","41","31",NULL,"30",NULL,"28","2022-09-05 13:45:05"
"93","CrazedZooChimp","Stanford","USC","28","41","41",NULL,"36",NULL,"11","2022-09-09 02:09:20"
"99","Treebound","Stanford","USC","28","41","33","Lack of OC...","31","Lack of IC (Institutional Control)","26","2022-09-08 18:05:17"
"101","Hurlburt88","Stanford","USC","28","41","31",NULL,"38",NULL,"80","2022-09-05 14:18:43"
"118","pcgoode","Stanford","USC","28","41","34",NULL,"28",NULL,"9","2022-09-09 00:08:07"
"125","vataha","Stanford","USC","28","41","35","Us","34","Them","28","2022-09-09 00:44:28"
"133","pokey","Stanford","USC","28","41","38",NULL,"42",NULL,"71","2022-09-06 10:42:14"
"146","triangle2","Stanford","USC","28","41","9",NULL,"44",NULL,"63","2022-09-07 22:29:55"
"150","Publius","Stanford","USC","28","41","28","Pac-10","27","B1G","33","2022-09-06 09:50:11"
"196","Langdude","Stanford","USC","28","41","31",NULL,"34",NULL,"75","2022-09-10 11:16:00"
"208","indiancardinal","Stanford","USC","28","41","34",NULL,"24",NULL,"2","2022-09-10 06:33:30"
"211","martyup","Stanford","USC","28","41","50","OnceProudNowDowd","49","Upper South Compton","1","2022-09-10 14:48:29"
"235","Cowboy1","Stanford","USC","28","41","35",NULL,"32",NULL,"25","2022-09-07 20:14:08"
"243","Papa John","Stanford","USC","28","41","24","University in honor of Leland's child","23","University of Satan's Children","3","2022-09-05 19:35:19"
"254","tcufrog","Stanford","USC","28","41","24",NULL,"49",NULL,"68","2022-09-05 17:58:38"
"257","standfan","Stanford","USC","28","41","42",NULL,"39",NULL,"25","2022-09-10 13:24:57"
"261","CTcard","Stanford","USC","28","41","35","Trees","28","Troys","6","2022-09-08 16:54:44"
"265","bl82","Stanford","USC","28","41","24",NULL,"38",NULL,"79","2022-09-05 22:20:21"
"267","cardcrimson","Stanford","USC","28","41","27","Sailing Blues","40","H2O Polo and Crew Blues","82","2022-09-05 16:37:18"
"277","thunder_chik","Stanford","USC","28","41","34",NULL,"31",NULL,"25","2022-09-05 14:56:14"
"284","Durty Nelly","Stanford","USC","28","41","24",NULL,"34",NULL,"71","2022-09-07 18:09:14"
"288","murky","Stanford","USC","28","41","38",NULL,"35",NULL,"25","2022-09-05 17:15:58"
"302","JJJ","Stanford","USC","28","41","45","Biggest. Upset. Ever. Winner.","42","Biggest. Upset. Ever. Loser.","11","2022-09-08 09:04:01"
"324","d4cohn","Stanford","USC","28","41","35",NULL,"31",NULL,"17","2022-09-05 18:38:23"
"328","CPSteeple","Stanford","USC","28","41","35",NULL,"31",NULL,"17","2022-09-10 00:21:47"
"382","Phogge","Stanford","USC","28","41","34","Tony Serra","28","The Plumbers","9","2022-09-06 19:51:32"
"453","Snorlax94","Stanford","USC","28","41","34","EJ and the Trees","31","Austin Jones and the Transfers","25","2022-09-09 22:45:56"
"473","CardinalSagehen","Stanford","USC","28","41","38",NULL,"35",NULL,"25","2022-09-07 19:26:36"
"480","lex24","Stanford","USC","28","41","28",NULL,"45",NULL,"84","2022-09-05 00:00:00"
"515","qwerty49","Stanford","USC","28","41","24",NULL,"35",NULL,"75","2022-09-05 18:04:14"
"558","PAsportsfan","Stanford","USC","28","41","13",NULL,"48",NULL,"63","2022-09-05 17:09:32"
"706","PVTree","Stanford","USC","28","41","28","Los Arboles","27","Sperm collectors","33","2022-09-10 06:16:33"
"725","chrisk","Stanford","USC","28","41","24","P10","35","B16","75","2022-09-05 15:35:43"
"804","AcesUp","Stanford","USC","28","41","17",NULL,"31",NULL,"64","2022-09-10 07:07:46"
"819","ADPinWDC","Stanford","USC","28","41","31","Tall Brush","28","Brush-heads","25","2022-09-08 12:25:53"
"842","Austroturf","Stanford","USC","28","41","28",NULL,"42",NULL,"86","2022-09-08 13:09:09"
"942","gailtate","Stanford","USC","28","41","24",NULL,"55",NULL,"66","2022-09-08 13:55:18"
"1002","MVDan","Stanford","USC","28","41","38",NULL,"35",NULL,"25","2022-09-06 13:06:04"
"1067","LDN/SG Card","Stanford","USC","28","41","35",NULL,"28",NULL,"6","2022-09-08 02:26:18"
"1101","thatboy","Stanford","USC","28","41","21","Good Guys","38","Defectors & Traitors","75","2022-09-05 21:23:18"
"1155","paloalto","Stanford","USC","28","41","14",NULL,"35",NULL,"65","2022-09-05 18:49:29"
"1197","old spanish trail","Stanford","USC","28","41","31",NULL,"45",NULL,"79","2022-09-05 16:50:28"
"1209","MV72018","Stanford","USC","28","41","17",NULL,"38",NULL,"67","2022-09-05 16:53:22"
"1379","skip75","Stanford","USC","28","41","38",NULL,"31",NULL,"6","2022-09-10 15:11:42"
"1413","relsef","Stanford","USC","28","41","37","Axemen","33","Ponies","17","2022-09-05 14:24:40"
"10","82lsju","Washington","Stanford","40","22","17",NULL,"27",NULL,"3","2022-09-18 19:32:34"
"29","JeffInCorvallis","Washington","Stanford","40","22","44",NULL,"17",NULL,"53","2022-09-24 12:26:37"
"31","Leftcoast","Washington","Stanford","40","22","39","Sled Mutts","24","Tall Trees","68","2022-09-19 18:26:12"
"33","Mick","Washington","Stanford","40","22","38","Sally Jewell (Secty of Interior)","24","Ray Lyman Wilbur (Secty of Interior)","65","2022-09-19 16:14:06"
"46","akiddoc","Washington","Stanford","40","22","42",NULL,"24",NULL,"65","2022-09-19 13:34:59"
"58","george","Washington","Stanford","40","22","42",NULL,"28",NULL,"55","2022-09-18 22:54:51"
"61","Renaissance Man","Washington","Stanford","40","22","35",NULL,"38",NULL,"18","2022-09-19 12:19:19"
"66","pefloresjr","Washington","Stanford","40","22","34",NULL,"38",NULL,"13","2022-09-23 22:30:00"
"90","CompSci87","Washington","Stanford","40","22","28","Them","31","Us","18","2022-09-18 19:18:35"
"99","Treebound","Washington","Stanford","40","22","35","Fuskies","36","In Tanner we Trust","20","2022-09-22 13:21:42"
"101","Hurlburt88","Washington","Stanford","40","22","34",NULL,"31",NULL,"43","2022-09-19 16:58:41"
"118","pcgoode","Washington","Stanford","40","22","35",NULL,"42",NULL,"6","2022-09-21 10:09:03"
"125","vataha","Washington","Stanford","40","22","30",NULL,"34",NULL,"13","2022-09-22 00:27:18"
"133","pokey","Washington","Stanford","40","22","42",NULL,"35",NULL,"43","2022-09-19 11:09:57"
"150","Publius","Washington","Stanford","40","22","27",NULL,"30",NULL,"18","2022-09-22 09:17:11"
"170","AlbanyCardinal","Washington","Stanford","40","22","49",NULL,"20",NULL,"49","2022-09-22 00:42:31"
"196","Langdude","Washington","Stanford","40","22","38",NULL,"27",NULL,"58","2022-09-22 18:26:17"
"208","indiancardinal","Washington","Stanford","40","22","36",NULL,"48",NULL,"2","2022-09-24 07:50:12"
"211","martyup","Washington","Stanford","40","22","21","Canis Sarna","50","Sequoia Elumbis","1","2022-09-20 20:58:38"
"243","Papa John","Washington","Stanford","40","22","37","Montlake","41","Lake Lag","13","2022-09-19 14:23:29"
"254","tcufrog","Washington","Stanford","40","22","38",NULL,"28",NULL,"55","2022-09-19 14:40:38"
"265","bl82","Washington","Stanford","40","22","42",NULL,"21",NULL,"68","2022-09-18 21:36:10"
"267","cardcrimson","Washington","Stanford","40","22","41",NULL,"27",NULL,"60","2022-09-19 14:34:44"
"277","thunder_chik","Washington","Stanford","40","22","31","My dad's alma mater","33","My alma mater","19","2022-09-21 16:38:52"
"284","Durty Nelly","Washington","Stanford","40","22","48",NULL,"20",NULL,"52","2022-09-21 13:38:03"
"288","murky","Washington","Stanford","40","22","31",NULL,"35",NULL,"13","2022-09-18 22:36:32"
"302","JJJ","Washington","Stanford","40","22","42","Doghouse","45","Treehouse","6","2022-09-20 20:37:40"
"328","CPSteeple","Washington","Stanford","40","22","31","Dog bark","35","Tree bark","13","2022-09-21 23:46:04"
